Year,GDP_Growth,CPI_Inflation,Repo_Rate,Investment_GDP,Unemployment,Govt_Debt_GDP,Govt_Spending_GDP,Fiscal_Deficit_GDP
2015-16,8.0,4.9,6.75,31.2,5.0,68.5,11.7,3.5
2016-17,8.3,4.5,6.25,30.6,5.4,67.8,11.9,3.5
2017-18,6.8,3.6,6.00,30.8,5.3,66.4,12.1,3.5
2018-19,6.5,3.4,6.50,31.4,5.8,67.3,12.3,3.4
2019-20,4.0,4.8,5.15,30.0,5.3,74.0,12.8,4.6
2020-21,-5.8,6.2,4.00,26.5,7.1,89.5,15.7,9.2
2021-22,9.7,5.5,4.00,29.6,5.9,83.4,14.9,6.7
2022-23,7.0,6.7,6.50,31.0,5.4,81.0,14.6,5.9
2023-24,8.2,5.4,6.50,33.5,4.9,80.3,14.5,5.1
2024-25,6.5,4.6,6.25,34.2,4.2,82.1,14.8,4.9
